id,member_of_parliament_id,name,number,location,hectares,latitude,longitude,connectivity_url,statcan_url,detail_url
2664,5,SPAHOMIN CREEK 8,7255,"KAMLOOPS DISTRICT, ON SPAHOMIN LAKE AND CREEK, 5 MILES SOUTH OF DOUGLAS LAKE",1561,50.08614332,-120.2320992,,,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=07255&lang=eng
2672,5,SPEOUS 8,7230,"KAMLOOPS DIST PT IN SEC 36, TP13,R23,W.6M. (IN RR BELT) & PT OUTSIDE BELT, 1 MILE SOUTH OF CANFORD C.P. STATION",113.3,50.12716434,-121.0038349,,,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=07230&lang=eng
2955,5,TSINSTIKEPTUM 10,7421,"OSOYOOS DISTRICT, ON WEST SHORE OF OKANAGAN LAKE OPPOSITE KELOWNA",339,49.88281444,-119.5365218,,http://www12.statcan.ca/census-recensement/2006/dp-pd/prof/92-591/details/Page.cfm?Lang=E&Geo1=CSD&Code1=5935803&Geo2=PR&Code2=59&Data=Count&SearchText=British%20Columbia&SearchType=Begins&SearchPR=59&B1=All&Custom=,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=07421&lang=eng
2956,5,TSINSTIKEPTUM 9,7420,"OSOYOOS DISTRICT, ON MCDOUGALL CREEK, ON WEST SHORE OF       OKANAGAN LAKE, 6 MILES SW OF KELOWNA",641.8,49.836,-119.608,http://www.aboriginalcanada.gc.ca//abdt/apps/connectivitysurvey.nsf/vAllCProfile_en/1566.html,http://www12.statcan.ca/census-recensement/2006/dp-pd/prof/92-591/details/Page.cfm?Lang=E&Geo1=CSD&Code1=5935802&Geo2=PR&Code2=59&Data=Count&SearchText=British%20Columbia&SearchType=Begins&SearchPR=59&B1=All&Custom=,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=07420&lang=eng
3221,5,ZOHT 14,7231,"KAMLOOPS DISTRICT, LOT 4210, IN TP.94, ON CLAPPERTON CREEK   7 MILES NORTH OF NICOLA",112.1,50.23747524,-120.6193384,,,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=07231&lang=eng
3222,5,ZOHT 4,7226,"KAMLOOPS DISTRICT, IN TP94, 2 MILES NORTH OF NICOLA, AT WEST END OF NICOLA LAKE",202.3,50.18239667,-120.6688164,,http://www12.statcan.ca/census-recensement/2006/dp-pd/prof/92-591/details/Page.cfm?Lang=E&Geo1=CSD&Code1=5933811&Geo2=PR&Code2=59&Data=Count&SearchText=British%20Columbia&SearchType=Begins&SearchPR=59&B1=All&Custom=,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=07226&lang=eng
3223,5,ZOHT 5,7227,"KAMLOOPS DISTRICT, IN SEC. 36, TP.94, LOT 716,G.1., ON       CLAPPERTON CREEK, 6 MILES NORTH OF NICOLA",64.7,50.2275508,-120.6195593,,,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=07227&lang=eng
2899,9,TOBIQUE 20,6025,27 KM S/S OF/DE GRAND FALLS,2724,46.7781,-67.7101,http://www.aboriginalcanada.gc.ca//abdt/apps/connectivitysurvey.nsf/vAllCProfile_en/205.html,http://www12.statcan.ca/census-recensement/2006/dp-pd/prof/92-591/details/Page.cfm?Lang=E&Geo1=CSD&Code1=1312007&Geo2=PR&Code2=13&Data=Count&SearchText=New%20Brunswick&SearchType=Begins&SearchPR=13&B1=All&Custom=,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=06025&lang=eng
3146,9,WOODSTOCK 23,6026,5 KM S/S OF/DE WOODSTOCK,159.8,46.1032,-67.6078,http://www.aboriginalcanada.gc.ca//abdt/apps/connectivitysurvey.nsf/vAllCProfile_en/206.html,http://www12.statcan.ca/census-recensement/2006/dp-pd/prof/92-591/details/Page.cfm?Lang=E&Geo1=CSD&Code1=1311005&Geo2=PR&Code2=13&Data=Count&SearchText=New%20Brunswick&SearchType=Begins&SearchPR=13&B1=All&Custom=,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=06026&lang=eng
2728,12,STONY PLAIN 135,6652,13 KM SW/SO OF/DE EDMONTON,5306.2,53.484,-113.799,http://www.aboriginalcanada.gc.ca//abdt/apps/connectivitysurvey.nsf/vAllCProfile_en/805.html,http://www12.statcan.ca/census-recensement/2006/dp-pd/prof/92-591/details/Page.cfm?Lang=E&Geo1=CSD&Code1=4811804&Geo2=PR&Code2=48&Data=Count&SearchText=Alberta&SearchType=Begins&SearchPR=48&B1=All&Custom=,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=06652&lang=eng
352,14,CARRY THE KETTLE NAKODA FIRST NATION 76-33,9708,,4278.9,50.87070227,-108.5967987,,,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=09708&lang=eng
355,14,CARRY THE KETTLE NAKODA FIRST NATION 76-37,9898,,126.4,50.87807989,-108.5730616,,,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=09898&lang=eng
356,14,CARRY THE KETTLE NAKODA FIRST NATION 76-38,9899,,704.2,50.85958523,-108.5841704,,,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=09899&lang=eng
360,14,CARRY THE KETTLE NAKODA FIRST NATION 76-7,9591,,64.8,49.83947025,-107.7572729,,,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=09591&lang=eng
525,14,COWESSESS 73,6543,13 KM NW/NO OF/DE BROADVIEW,36698.6,50.538,-102.681,http://www.aboriginalcanada.gc.ca//abdt/apps/connectivitysurvey.nsf/vAllCProfile_en/695.html,http://www12.statcan.ca/census-recensement/2006/dp-pd/prof/92-591/details/Page.cfm?Lang=E&Geo1=CSD&Code1=4705803&Geo2=PR&Code2=47&Data=Count&SearchText=Saskatchewan&SearchType=Begins&SearchPR=47&B1=All&Custom=,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=06543&lang=eng
1315,14,LITTLE PINE 116,6475,53 KM NW/NO OF/DE NORTH BATTLEFORD,24044.9,52.922,-109.064,http://www.aboriginalcanada.gc.ca//abdt/apps/connectivitysurvey.nsf/vAllCProfile_en/626.html,http://www12.statcan.ca/census-recensement/2006/dp-pd/prof/92-591/details/Page.cfm?Lang=E&Geo1=CSD&Code1=4713836&Geo2=PR&Code2=47&Data=Count&SearchText=Saskatchewan&SearchType=Begins&SearchPR=47&B1=All&Custom=,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=06475&lang=eng
1678,14,NEKANEET CREE NATION,6565,121 KM SW/SO OF/DE SWIFT CURRENT,12319.9,49.716,-109.267,http://www.aboriginalcanada.gc.ca//abdt/apps/connectivitysurvey.nsf/vAllCProfile_en/717.html,http://www12.statcan.ca/census-recensement/2006/dp-pd/prof/92-591/details/Page.cfm?Lang=E&Geo1=CSD&Code1=4704802&Geo2=PR&Code2=47&Data=Count&SearchText=Saskatchewan&SearchType=Begins&SearchPR=47&B1=All&Custom=,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=06565&lang=eng
3142,14,WOOD MOUNTAIN 160,6574,135 KM SW/SO OF/DE MOOSE JAW,2376.2,49.319,-106.443,http://www.aboriginalcanada.gc.ca//abdt/apps/connectivitysurvey.nsf/vAllCProfile_en/725.html,http://www12.statcan.ca/census-recensement/2006/dp-pd/prof/92-591/details/Page.cfm?Lang=E&Geo1=CSD&Code1=4703801&Geo2=PR&Code2=47&Data=Count&SearchText=Saskatchewan&SearchType=Begins&SearchPR=47&B1=All&Custom=,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=06574&lang=eng
7,16,ABITIBI 70,6172,SOUTH SHORE/RIVE SUD DE/OF LAKE ABITIBI,7770.1,48.612,-79.984,http://www.aboriginalcanada.gc.ca//abdt/apps/connectivitysurvey.nsf/vAllCProfile_en/330.html,http://www12.statcan.ca/census-recensement/2006/dp-pd/prof/92-591/details/Page.cfm?Lang=E&Geo1=CSD&Code1=3556033&Geo2=PR&Code2=35&Data=Count&SearchText=Ontario&SearchType=Begins&SearchPR=35&B1=All&Custom=,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=06172&lang=eng
150,16,ATTAWAPISKAT 91,6259,165 KM W/O OF/DE JAMES BAY BOTH BANKS OF EKWAN RIVER,27040.1,53.56648971,-84.30982045,,,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=06259&lang=eng
151,16,ATTAWAPISKAT 91A,6260,LEFT BANK OF ATTAWAPISKAT RIVER NEAR WEST SHORE OF JAMES BAY,235.8,52.939,-82.294,http://www.aboriginalcanada.gc.ca//abdt/apps/connectivitysurvey.nsf/vAllCProfile_en/420.html,http://www12.statcan.ca/census-recensement/2006/dp-pd/prof/92-591/details/Page.cfm?Lang=E&Geo1=CSD&Code1=3560051&Geo2=PR&Code2=35&Data=Count&SearchText=Ontario&SearchType=Begins&SearchPR=35&B1=All&Custom=,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=06260&lang=eng
644,16,ENGLISH RIVER 66,6295,EAST BANK/SUR LA RIVE EST OF/DE KENOGAMI RIVER,3108,50.46027518,-84.36603021,,,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=06295&lang=eng
667,16,FACTORY ISLAND 1,6261,IN MOOSE RIVER ABOUT 6 KM SW OF JAMES BAY,299,51.264,-80.597,http://www.aboriginalcanada.gc.ca//abdt/apps/connectivitysurvey.nsf/vAllCProfile_en/421.html,http://www12.statcan.ca/census-recensement/2006/dp-pd/prof/92-591/details/Page.cfm?Lang=E&Geo1=CSD&Code1=3556094&Geo2=PR&Code2=35&Data=Count&SearchText=Ontario&SearchType=Begins&SearchPR=35&B1=All&Custom=,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=06261&lang=eng
692,16,FLYING POST 73,6161,40 KM SW/SO OF/DE SMOOTH ROCK FALLS,5957.1,48.531,-82.017,http://www.aboriginalcanada.gc.ca//abdt/apps/connectivitysurvey.nsf/vAllCProfile_en/318.html,http://www12.statcan.ca/census-recensement/2006/dp-pd/prof/92-591/details/Page.cfm?Lang=E&Geo1=CSD&Code1=3556100&Geo2=PR&Code2=35&Data=Count&SearchText=Ontario&SearchType=Begins&SearchPR=35&B1=All&Custom=,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=06161&lang=eng
701,16,FORT ALBANY 67,6258,ON/SUR W/O SHORE/RIVE OF/DE JAMES BAY,36345.7,52.251,-81.501,http://www.aboriginalcanada.gc.ca//abdt/apps/connectivitysurvey.nsf/vAllCProfile_en/417.html,http://www12.statcan.ca/census-recensement/2006/dp-pd/prof/92-591/details/Page.cfm?Lang=E&Geo1=CSD&Code1=3560050&Geo2=PR&Code2=35&Data=Count&SearchText=Ontario&SearchType=Begins&SearchPR=35&B1=All&Custom=,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=06258&lang=eng
1411,16,MARTEN FALLS 65,6299,ALBANY RIVER NORTH BANK/RIVE NORD RIVIERE ALBANY             170 KM NE OF NAKINA,7770.1,51.657,-85.918,http://www.aboriginalcanada.gc.ca//abdt/apps/connectivitysurvey.nsf/vAllCProfile_en/461.html,http://www12.statcan.ca/census-recensement/2006/dp-pd/prof/92-591/details/Page.cfm?Lang=E&Geo1=CSD&Code1=3560052&Geo2=PR&Code2=35&Data=Count&SearchText=Ontario&SearchType=Begins&SearchPR=35&B1=All&Custom=,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=06299&lang=eng
1417,16,MATACHEWAN 72,6151,42 KM W/O OF/DE KIRKLAND LAKE,4158.6,48.059,-80.639,http://www.aboriginalcanada.gc.ca//abdt/apps/connectivitysurvey.nsf/vAllCProfile_en/308.html,http://www12.statcan.ca/census-recensement/2006/dp-pd/prof/92-591/details/Page.cfm?Lang=E&Geo1=CSD&Code1=3554057&Geo2=PR&Code2=35&Data=Count&SearchText=Ontario&SearchType=Begins&SearchPR=35&B1=All&Custom=,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=06151&lang=eng
1493,16,MOOSE FACTORY 68,6262,ON EAST BANK OF NORTH FRENCH RIVER 8 KM SW OF JAMES BAY,17094,51.11557792,-80.61400091,,http://www12.statcan.ca/census-recensement/2006/dp-pd/prof/92-591/details/Page.cfm?Lang=E&Geo1=CSD&Code1=3556096&Geo2=PR&Code2=35&Data=Count&SearchText=Ontario&SearchType=Begins&SearchPR=35&B1=All&Custom=,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=06262&lang=eng
1705,16,NEW POST 69A,6081,14 KM SOUTHEAST OF COCHRANE,116.8,49.007,-80.838,http://www.aboriginalcanada.gc.ca//abdt/apps/connectivitysurvey.nsf/vAllCProfile_en/256.html,http://www12.statcan.ca/census-recensement/2006/dp-pd/prof/92-591/details/Page.cfm?Lang=E&Geo1=CSD&Code1=3556102&Geo2=PR&Code2=35&Data=Count&SearchText=Ontario&SearchType=Begins&SearchPR=35&B1=All&Custom=,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=06081&lang=eng
3134,16,WINISK INDIAN SETTLEMENT,6358,,0,54.99,-85.43,http://www.aboriginalcanada.gc.ca//abdt/apps/connectivitysurvey.nsf/vAllCProfile_en/510.html,http://www12.statcan.ca/census-recensement/2006/dp-pd/prof/92-591/details/Page.cfm?Lang=E&Geo1=CSD&Code1=3560091&Geo2=PR&Code2=35&Data=Count&SearchText=Ontario&SearchType=Begins&SearchPR=35&B1=All&Custom=,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=06358&lang=eng
199,17,BEAVER LAKE 17,6057,78.4 KM SE OF/DE HALIFAX,49.4,45.02277502,-62.76028818,,,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=06057&lang=eng
749,17,FRANKLIN MANOR NO.22 (PART),6033,32 KM SE OF/DE AMHERST,212.5,45.54601523,-64.39949093,,,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=06033&lang=eng
1462,17,MILLBROOK 27,6059,8 KM S/S OF/DE TRURO,302,45.3315,-63.2982,http://www.aboriginalcanada.gc.ca//abdt/apps/connectivitysurvey.nsf/vAllCProfile_en/239.html,http://www12.statcan.ca/census-recensement/2006/dp-pd/prof/92-591/details/Page.cfm?Lang=E&Geo1=CSD&Code1=1210003&Geo2=PR&Code2=12&Data=Count&SearchText=Nova%20Scotia&SearchType=Begins&SearchPR=12&B1=All&Custom=,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=06059&lang=eng
2926,17,TRURO 27A,6061,ADJOINS S LIMIT TRURO,16.7,45.3258972,-63.28301877,,,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=06061&lang=eng
2927,17,TRURO 27B,6062,ADJOINS TRURO 27A ON S,16.4,45.32293532,-63.28194253,,,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=06062&lang=eng
2928,17,TRURO 27C,6063,ADJOINS TRURO I.R. NO. 27B ON THE SOUTH,9.5,45.32057706,-63.28148609,,,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=06063&lang=eng
584,18,DEVON 30,6023,6 KM E/E OF/DE FREDERICTON,125.9,45.9965,-66.6112,http://www.aboriginalcanada.gc.ca//abdt/apps/connectivitysurvey.nsf/vAllCProfile_en/203.html,http://www12.statcan.ca/census-recensement/2006/dp-pd/prof/92-591/details/Page.cfm?Lang=E&Geo1=CSD&Code1=1310034&Geo2=PR&Code2=13&Data=Count&SearchText=New%20Brunswick&SearchType=Begins&SearchPR=13&B1=All&Custom=,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=06023&lang=eng
